graph_conv_layers,dense_layer_size,dropout,learning_rate,batch_size,train_roc_auc_score,train_accuracy_score,test_roc_auc_score,test_accuracy_score
"[128, 128]",256,0.2,0.001,128,0.8856041280648925,0.8078365574417686,0.8730366492146597,0.8074191002367798
"[64, 64]",128,0.2,0.0005,128,0.8713945354406469,0.797769443347809,0.8647205415654502,0.7955801104972375
"[64, 128, 64]",128,0.2,0.001,128,0.8692850048931551,0.7947098302408212,0.8602670106774095,0.7868981846882399
"[64, 128, 64]",256,0.2,0.001,128,0.8697571040998124,0.7974733517568101,0.8617330798517333,0.7861089187056038
"[64, 128, 64]",256,0.3,0.001,128,0.8713998033320541,0.7934267666798263,0.8602116873123407,0.7821625887924231
"[64, 128, 64]",256,0.2,0.0005,128,0.8603024162061921,0.7853335965258587,0.8477312390924956,0.7790055248618785
"[64, 64]",256,0.2,0.0005,128,0.8666588285936044,0.7748716936439005,0.8629677967721331,0.7758484609313339
"[64, 128, 64]",128,0.3,0.001,128,0.8653180276072825,0.7897749703908409,0.8560272291544075,0.7750591949486977
"[64, 64]",128,0.3,0.0005,128,0.8562308462607584,0.7766482431898935,0.8486792803939024,0.771112865035517
"[128, 128]",128,0.2,0.001,128,0.8886779574158178,0.7844453217528622,0.8729989287384765,0.7671665351223362
"[64, 128, 64]",128,0.3,0.0005,128,0.8534343022329581,0.7699368337939203,0.8436272512837535,0.7663772691397001
"[128, 128]",256,0.2,0.0001,128,0.8468337912573015,0.7708251085669167,0.8389599710306743,0.7655880031570639
"[128, 128]",128,0.3,0.0005,128,0.8711584220732693,0.7693446506119226,0.8587104123602456,0.7592738752959748
"[128, 128]",256,0.3,0.0001,128,0.8396104330540272,0.757007500986972,0.8299410051752494,0.755327545382794
"[64, 64]",256,0.3,0.001,128,0.8510564427587192,0.7484208448480063,0.8402474966177307,0.7490134175217048
"[64, 64]",128,0.3,0.001,128,0.867989446951843,0.7474338728780102,0.8546265421388012,0.7458563535911602
"[64, 64]",256,0.2,0.0001,128,0.8419809547577397,0.753750493485985,0.8356129074440102,0.745067087608524
"[64, 64]",128,0.2,0.001,128,0.8676796419638856,0.7419068298460324,0.8548503502974889,0.739542225730071
"[128, 128]",128,0.3,0.0001,128,0.8280683162131768,0.7479273588630083,0.8206655400817779,0.739542225730071
"[64, 64]",256,0.3,0.0001,128,0.8222244981082678,0.7331227793130675,0.8157040401144691,0.7300710339384373
"[64, 64]",256,0.2,0.001,128,0.8723382237415724,0.7416107382550335,0.8632142372165307,0.7292817679558011
"[128, 128]",256,0.3,0.0005,128,0.8635404036480099,0.738255033557047,0.84881255940975,0.728492501973165
"[64, 64]",256,0.3,0.0005,128,0.8286582611916696,0.7366758784050533,0.8199765127168299,0.728492501973165
"[64, 128, 64]",128,0.2,0.0005,128,0.8440522464957241,0.7368732727990525,0.8286170164612159,0.7253354380426204
"[64, 128, 64]",128,0.2,0.0001,128,0.8039276986318785,0.7346032372680615,0.7967532728799835,0.7237569060773481
"[64, 128, 64]",256,0.2,0.0001,128,0.8045701949963469,0.7321358073430715,0.7928454315473945,0.7221783741120757
"[128, 128]",128,0.2,0.0001,128,0.8360531741154847,0.7268061587050928,0.8268642716678989,0.7205998421468035
"[128, 128]",256,0.2,0.0005,128,0.8781862797032559,0.7166403474141334,0.8679619878188009,0.7158642462509865
"[64, 64]",128,0.2,0.0001,128,0.8308353423913597,0.7348993288590604,0.8221290945576896,0.7158642462509865
"[64, 128, 64]",128,0.3,0.0001,128,0.7854457283580896,0.7125937623371497,0.7794446037086772,0.7119179163378059
"[128, 128]",128,0.2,0.0005,128,0.8786918991798178,0.7269048559020924,0.8652134224542449,0.7103393843725335
"[64, 64]",128,0.3,0.0001,128,0.7707156347093027,0.6968022108172128,0.7680479905044988,0.7095501183898973
"[128, 128]",256,0.3,0.001,128,0.8802159678519323,0.6878207658902488,0.8653894513431004,0.6882399368587214
"[128, 128]",128,0.3,0.001,128,0.8800639249302911,0.6900908014212397,0.8628822970261176,0.6803472770323599
"[64, 128, 64]",256,0.3,0.0005,128,0.8464005586907848,0.6664034741413344,0.8347654540790923,0.6661404893449092
"[64, 128, 64]",256,0.3,0.0001,128,0.7717705177012923,0.6598894591393605,0.760026102569519,0.6393054459352802
