graph_conv_layers,dense_layer_size,dropout,learning_rate,batch_size,train_roc_auc_score,train_accuracy_score,valid_roc_auc_score,valid_accuracy_score
"[64, 64]",256,0.2,0.001,128,0.934438586461708,0.8706365503080082,0.9287489643744822,0.8770491803278688
"[64, 64]",128,0.3,0.0005,128,0.9327531813080946,0.8655030800821355,0.9268157967412316,0.8852459016393442
"[64, 128, 64]",256,0.2,0.001,128,0.9311651739397404,0.8655030800821355,0.923777961888981,0.8524590163934426
"[64, 64]",256,0.3,0.001,128,0.9353490440195644,0.864476386036961,0.9221209610604806,0.9016393442622951
"[64, 128, 64]",256,0.3,0.001,128,0.9251815621757818,0.8634496919917864,0.9221209610604806,0.8852459016393442
"[64, 64]",128,0.2,0.0005,128,0.9330538440365029,0.8706365503080082,0.9212924606462304,0.8524590163934426
"[64, 128, 64]",128,0.2,0.001,128,0.9303605835397744,0.8655030800821355,0.9212924606462303,0.860655737704918
"[64, 64]",256,0.2,0.0005,128,0.9288572698977324,0.8613963039014374,0.9210162938414803,0.8852459016393442
"[128, 128]",256,0.3,0.001,128,0.9318511931228693,0.8655030800821355,0.9207401270367301,0.8770491803278688
"[128, 128]",128,0.3,0.001,128,0.9366533274047724,0.8634496919917864,0.9204639602319801,0.860655737704918
"[64, 128, 64]",256,0.3,0.0005,128,0.9129009718605094,0.8459958932238193,0.9193592930129798,0.8524590163934426
"[128, 128]",256,0.2,0.0005,128,0.9345486883059138,0.7885010266940452,0.9188069594034796,0.8114754098360656
"[64, 128, 64]",128,0.3,0.001,128,0.9249444197421075,0.8254620123203286,0.9185307925987296,0.860655737704918
"[128, 128]",128,0.2,0.0005,128,0.936365368735311,0.8685831622176592,0.9182546257939797,0.8688524590163934
"[128, 128]",256,0.3,0.0005,128,0.9321052743018061,0.8706365503080082,0.9177022921844795,0.8688524590163934
"[128, 128]",128,0.2,0.001,128,0.9366660314637194,0.8747433264887063,0.9171499585749793,0.8688524590163934
"[128, 128]",256,0.2,0.001,128,0.9331131296449215,0.8593429158110883,0.9163214581607291,0.8688524590163934
"[128, 128]",128,0.3,0.0005,128,0.9270024772914947,0.8552361396303901,0.916045291355979,0.8114754098360656
"[64, 128, 64]",128,0.2,0.0005,128,0.9077388892417795,0.8490759753593429,0.9157691245512289,0.860655737704918
"[64, 64]",128,0.2,0.001,128,0.9310804802134283,0.8675564681724846,0.9143882905274786,0.860655737704918
"[64, 64]",128,0.3,0.001,128,0.9252789599610409,0.8603696098562629,0.9143882905274786,0.860655737704918
"[64, 64]",256,0.3,0.0005,128,0.9215651400622499,0.7731006160164271,0.9141121237227285,0.8114754098360656
"[64, 128, 64]",256,0.2,0.0005,128,0.9217811090643461,0.8552361396303901,0.9141121237227285,0.8524590163934426
"[128, 128]",256,0.2,0.0001,128,0.9197781024370619,0.8429158110882957,0.9130074565037283,0.7950819672131147
"[64, 128, 64]",128,0.3,0.0005,128,0.9156704567109191,0.4702258726899384,0.9102457884562276,0.4180327868852459
"[64, 64]",128,0.2,0.0001,128,0.9166274958182472,0.8203285420944558,0.9080364540182271,0.7868852459016393
"[64, 64]",256,0.3,0.0001,128,0.9139681128120434,0.851129363449692,0.9069317867992268,0.8524590163934426
"[128, 128]",128,0.2,0.0001,128,0.9137817866141565,0.8408624229979466,0.9066556199944766,0.8360655737704918
"[64, 128, 64]",128,0.2,0.0001,128,0.9036862944377395,0.8213552361396304,0.9066556199944766,0.7950819672131147
"[64, 128, 64]",256,0.2,0.0001,128,0.8996040568294904,0.8429158110882957,0.9055509527754764,0.8360655737704918
"[128, 128]",128,0.3,0.0001,128,0.9116898515742446,0.8418891170431212,0.9052747859707263,0.8032786885245902
"[64, 128, 64]",128,0.3,0.0001,128,0.9014757881809905,0.8100616016427105,0.8994752830709749,0.8032786885245902
"[64, 64]",128,0.3,0.0001,128,0.9060788922060599,0.8388090349075975,0.8947804473902237,0.8278688524590164
"[64, 128, 64]",256,0.3,0.0001,128,0.8999047195578986,0.8151950718685832,0.8887047776857222,0.7868852459016393
"[128, 128]",256,0.3,0.0001,128,0.8958775328717525,0.7864476386036962,0.8812482739574703,0.7540983606557377
"[64, 64]",256,0.2,0.0001,128,0.9093480700417117,0.8439425051334702,0.8771057718862192,0.819672131147541
