graph_conv_layers,dense_layer_size,dropout,learning_rate,batch_size,train_roc_auc_score,train_accuracy_score,valid_roc_auc_score,valid_accuracy_score
"[64, 128, 64]",256,0.2,0.001,128,0.863397756,0.79049568,0.851988837,0.783193889
"[64, 64]",256,0.2,0.001,128,0.867091167,0.782810368,0.855463518,0.769734449
"[64, 128, 64]",128,0.3,0.001,128,0.868914074,0.78526603,0.854611787,0.769734449
"[64, 64]",256,0.2,0.0005,128,0.855710718,0.775579809,0.843601748,0.768643143
"[64, 128, 64]",128,0.3,0.0005,128,0.857858232,0.785447931,0.844606197,0.767551837
"[64, 128, 64]",256,0.3,0.001,128,0.865065778,0.785447931,0.851310734,0.765005457
"[64, 64]",128,0.2,0.001,128,0.866874079,0.768258299,0.853149182,0.760640233
"[64, 128, 64]",256,0.3,0.0005,128,0.859298001,0.76321055,0.847297699,0.758457621
"[64, 128, 64]",256,0.2,0.0001,128,0.839308357,0.764620282,0.828885169,0.758093852
"[64, 64]",128,0.2,0.0005,128,0.857947986,0.764984084,0.846975323,0.757730084
"[128, 128]",256,0.2,0.0001,128,0.859150522,0.76634834,0.846202995,0.75336486
"[64, 128, 64]",256,0.2,0.0005,128,0.860764277,0.763574352,0.849581069,0.749727174
"[64, 64]",128,0.3,0.001,128,0.86553498,0.762346521,0.855714962,0.749363405
"[64, 128, 64]",128,0.2,0.001,128,0.867679327,0.766803092,0.853440856,0.746089487
"[64, 64]",128,0.3,0.0005,128,0.856717815,0.759890859,0.840787171,0.744634413
"[64, 64]",128,0.2,0.0001,128,0.846943944,0.752341974,0.838363787,0.744634413
"[128, 128]",128,0.2,0.0001,128,0.853990545,0.756252842,0.841454157,0.742088032
"[64, 128, 64]",128,0.2,0.0005,128,0.861643343,0.748522055,0.852532484,0.73990542
"[128, 128]",256,0.2,0.001,128,0.877191617,0.74211005,0.861735837,0.732630047
"[128, 128]",128,0.3,0.0005,128,0.866127624,0.736380173,0.852671572,0.73190251
"[128, 128]",256,0.3,0.001,128,0.874581356,0.746657572,0.859957207,0.731538741
"[128, 128]",256,0.2,0.0005,128,0.873343426,0.74115507,0.85992174,0.731174973
"[64, 128, 64]",128,0.3,0.0001,128,0.825613003,0.728967713,0.815888463,0.72935613
"[64, 64]",256,0.3,0.001,128,0.865007446,0.738608458,0.850413479,0.728628592
"[128, 128]",128,0.2,0.0005,128,0.87359942,0.738608458,0.86181974,0.727901055
"[64, 128, 64]",128,0.2,0.0001,128,0.836280253,0.730832196,0.82119471,0.727537286
"[64, 64]",256,0.3,0.0005,128,0.853663515,0.721236926,0.840511377,0.711895235
"[64, 64]",256,0.2,0.0001,128,0.846344346,0.710777626,0.833715527,0.704256093
"[64, 64]",128,0.3,0.0001,128,0.832607753,0.705502501,0.819109584,0.702073481
"[128, 128]",256,0.3,0.0005,128,0.865923733,0.697180537,0.849709967,0.691160422
"[64, 128, 64]",256,0.3,0.0001,128,0.830596063,0.694361073,0.820462084,0.688250273
"[128, 128]",256,0.3,0.0001,128,0.841809279,0.685220555,0.831707686,0.686795198
"[64, 64]",256,0.3,0.0001,128,0.833014364,0.691678035,0.82226083,0.684976355
"[128, 128]",128,0.2,0.001,128,0.878644681,0.701864484,0.861145078,0.682066206
"[128, 128]",128,0.3,0.001,128,0.876490724,0.685902683,0.864113167,0.67297199
"[128, 128]",128,0.3,0.0001,128,0.769987406,0.547748977,0.760859968,0.550745726
