Molecule ChEMBL ID,Smiles,MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,HeavyAtomCount,NumAromaticRings,FractionCSP3,ALogP
CHEMBL100034,CCCCNC(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,604.7520000000002,2.764700000000002,5,6,166.75,16,44,3,0.42424242424242425,2.76
CHEMBL100039,CC(C)CCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1)C(=O)NC(C)(C)C,597.7570000000002,3.1014000000000035,5,6,163.08999999999997,15,43,2,0.5,3.1
CHEMBL100040,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2SCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CS(=O)(=O)c1ccc(F)cc1)NC(=O)C(F)(F)F,730.8470000000002,2.8456,4,8,144.91,12,49,2,0.5454545454545454,2.85
CHEMBL100048,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2SCC[C@@H]2CN1C[C@@H](O)[C@H](CSc1ccccc1)NC(=O)O[C@H]1CCS(=O)(=O)C1,599.8410000000001,2.5322000000000005,3,9,125.04000000000002,9,39,1,0.7037037037037037,2.53
CHEMBL100089,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CS(=O)(=O)c1ccc2ccccc2c1)NS(C)(=O)=O,740.989,3.4151000000000034,4,8,161.98,13,51,3,0.5263157894736842,3.42
CHEMBL100271,CC(C)[C@@H]1SCC[C@@H]1OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,577.8570000000002,4.325600000000003,3,7,90.9,9,39,1,0.7333333333333333,4.33
CHEMBL100310,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCC(O)CO,585.7420000000003,2.3425000000000007,6,7,157.22,15,42,2,0.53125,2.34
CHEMBL100412,CC(C)[C@H](NC(=O)CSc1ncccn1)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CSc1ncccn1)C(C)C,787.025,3.638600000000001,5,11,188.19,21,55,4,0.4,3.64
CHEMBL101111,COc1cc(CC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)Cc2cc(OC)c(OC)c(OC)c2)C(C)C)C(C)C)cc(OC)c1OC,899.0949999999998,5.011000000000006,5,11,192.00999999999993,25,65,4,0.44,5.01
CHEMBL101560,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)OC1CCCC1,556.703,4.650900000000004,4,5,107.89000000000001,11,41,3,0.4117647058823529,4.65
CHEMBL101962,COc1cc(CC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)Cc2cc(OC)c(OC)c(OC)c2)C(C)C)C(C)C)cc(OC)c1OC,915.0939999999998,3.9818000000000078,6,12,212.23999999999995,25,66,4,0.44,3.98
CHEMBL102664,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)SC1(C)C,907.1759999999999,2.926000000000009,8,10,198.66,19,64,4,0.375,2.93
CHEMBL103213,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2OC[C@H]1O,560.6910000000003,4.343100000000004,4,6,117.12,10,41,3,0.3939393939393939,4.34
CHEMBL103217,COC(=O)c1c(Br)c(OC)c2c(c1-c1c3c(c(OC)c(Br)c1C(=O)OC)OCO3)OCO2,576.1460000000002,3.9264000000000028,0,10,107.98000000000002,5,32,2,0.3,3.93
CHEMBL103400,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2[C@@H](O)[C@H]1O,560.6910000000004,3.997700000000004,5,6,128.12,10,41,3,0.3939393939393939,4.0
CHEMBL103783,CC(C)[C@H](NC(=O)CC1NC(=O)NC1=O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CC1NC(=O)NC1=O)C(C)C,778.864,-1.358999999999988,10,10,273.25999999999993,19,56,2,0.47368421052631576,-1.36
CHEMBL103821,Cc1ccc(C[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N[C@@H]2c3ccccc3C[C@H]2O)cc1,558.7190000000005,4.8152200000000045,4,5,107.89,10,41,3,0.4117647058823529,4.82
CHEMBL104118,CCNC(=O)[C@@H](NC(=O)CCc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CCc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,811.0879999999999,1.3456000000000095,8,10,198.66,19,56,2,0.55,1.35
