,Name,Structure,Solubility,Prediction
0,CHEMBL729/LOPINAVIR,CC1=CC=CC(C)=C1OCC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,Soluble,-6.5035563
1,CHEMBL584/NELFINAVIR,CC1=C(O)C=CC=C1C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,Moderate,-6.508312
2,CHEMBL57/NEVIRAPINE,CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1,Moderate,-3.5396755
3,CHEMBL282042/SAQUINAVIR MESYLATE,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1.CS(=O)(=O)O,,-6.9952955
4,CHEMBL222559/TIPRANAVIR,CCC[C@@]1(CCC2=CC=CC=C2)CC(O)=C([C@H](CC)C2=CC=CC(NS(=O)(=O)C3=CC=C(C(F)(F)F)C=N3)=C2)C(=O)O1,Insoluble,-7.9111295
5,CHEMBL1735/INDINAVIR SULFATE,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O.O=S(=O)(O)O,,-5.795638
6,CHEMBL1465/PHENPROCOUMON,CCC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,Soluble,-4.5227747
7,CHEMBL1323/DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C(N)C=C1,Moderate,-4.6024933
8,CHEMBL129/ZIDOVUDINE,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,Soluble,-3.2035353
9,CHEMBL1163/ATAZANAVIR,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Insoluble,-7.202215
10,CHEMBL116/AMPRENAVIR,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Moderate,-4.626854
