,Unnamed: 0,Drug_ID,Drug,Y
0,46168,7973220,COc1ccc(NC(=O)c2c(NC(=O)CNCc3ccco3)sc3c2CCC3)cc1,0
1,59551,845747,COCCn1c(SCCN2CCCCC2)nc2ccccc2c1=O,1
2,241631,49667480,N/C(=N\[N+](=O)[O-])N1CCN(C(=O)OC2CCCC2)CC1,0
3,212542,24798840,CCOC(=O)C1(Cc2cccc(OC)c2)CCN(Cc2cccn2-c2ccccn2)CC1,1
4,90684,22409806,CCCCCCCCOC(=O)c1nc(Cl)c(Cl)c(N)c1Cl,1
5,295399,14732994,CCC(CC)C(=O)N1CC(=O)Nc2ccc(Br)cc2C1c1ccccc1,1
6,232941,17510329,Brc1csc(C=Nc2ccc3c(c2)OCCOCCOCCOCCO3)c1,1
7,199715,24790664,CCN1CCN(C(=O)c2ccccc2N(Cc2ccccc2)S(=O)(=O)c2ccc(OC)cc2)CC1,1
8,12708,57267152,C=CCN1C(=O)c2ccc(C(=O)N(C)CCOc3ccc(Cl)cc3)cc2C1=O,1
9,219952,14741075,CSc1nc2nc3c(c(=O)n2[nH]1)CCC3,0
10,301608,26663484,CCOC(=O)N1CCN(C(=O)/C(=C\c2ccc(SC)cc2)NC(=O)c2ccccc2)CC1,1
11,233537,17510219,Cc1cc(-c2n[nH]c(=S)n2Cc2ccco2)nn1C,0
12,188026,49723791,Cc1cccc(NC(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)n1,1
13,138874,26724955,COC(=O)[C@@H]1C[C@@]2(O)[C@@H](O)[C@@H](O)[C@@H](O)C[C@H]2N1Cc1cc(OC)cc(OC)c1,0
14,271028,860081,CN(C)CC(O)COc1ccc(-c2ccc(C#N)cc2)cc1,1
15,145256,24781658,Cc1ccc(-n2cc(CN3CCC(CO)(Cc4ccccc4)CC3)cn2)cc1,1
16,277919,17406797,CCn1cc(-c2nnnn2-c2ccc(Cl)cc2)c(=O)c2ccccc21,1
17,219658,49727223,COc1ccccc1N(C(=O)CNC(=O)c1ccco1)C(C(=O)NC1CCCC1)c1ccco1,0
