graph_conv_layers,dense_layer_size,dropout,learning_rate,batch_size,train_roc_auc_score,valid_roc_auc_score
"[128, 128]",256,0.2,0.0005,128,0.8993165833359538,0.9163666574356134
"[64, 64]",128,0.2,0.001,128,0.8993176315210214,0.9155358626419274
"[128, 128]",256,0.2,0.001,128,0.894535811242833,0.9147050678482416
"[128, 128]",128,0.2,0.001,128,0.901379411548903,0.9083356410966492
"[128, 128]",128,0.3,0.001,128,0.8917796086076958,0.9057047909166436
"[64, 64]",256,0.2,0.001,128,0.9016236386696436,0.8990584325671559
"[128, 128]",256,0.3,0.001,128,0.8884107418005722,0.8949044585987261
"[128, 128]",128,0.3,0.0005,128,0.8786102114189281,0.8868734422597618
"[128, 128]",128,0.2,0.0005,128,0.882761024286448,0.8857657158681805
"[64, 128, 64]",128,0.2,0.001,128,0.8481457606154943,0.884796455275547
"[64, 64]",256,0.3,0.001,128,0.87428068299739,0.8832733314871226
"[128, 128]",256,0.3,0.0005,128,0.8683531964403635,0.8792578233176406
"[64, 64]",128,0.3,0.0005,128,0.8316583335953796,0.8767654389365827
"[64, 64]",256,0.3,0.0005,128,0.8486153475257592,0.8738576571586818
"[64, 128, 64]",256,0.3,0.001,128,0.8685020387199565,0.8719191359734146
"[128, 128]",256,0.2,0.0001,128,0.8388604131945536,0.8716422043755193
"[64, 128, 64]",128,0.3,0.001,128,0.8655812710292129,0.8690113541955138
"[64, 64]",128,0.2,0.0001,128,0.8072377178914709,0.8670728330102464
"[128, 128]",256,0.3,0.0001,128,0.8336357347253232,0.8609803378565495
"[64, 64]",256,0.3,0.0001,128,0.8089509763843905,0.8583494876765438
"[64, 128, 64]",128,0.3,0.0005,128,0.8397068226366047,0.8551647743007478
"[64, 128, 64]",256,0.3,0.0005,128,0.8401863673050114,0.8532262531154805
"[128, 128]",128,0.3,0.0001,128,0.8085835875182122,0.8521185267238993
"[64, 64]",128,0.2,0.0005,128,0.8522132427701434,0.8499030739407367
"[64, 64]",256,0.2,0.0001,128,0.8208761778979696,0.8476876211575741
"[64, 128, 64]",256,0.2,0.0001,128,0.7745977589803256,0.8474106895596788
"[64, 128, 64]",256,0.2,0.001,128,0.8318810729222352,0.8453337025754639
"[64, 128, 64]",256,0.2,0.0005,128,0.8528526356613524,0.8453337025754639
"[128, 128]",128,0.2,0.0001,128,0.8422486714254269,0.8450567709775685
"[64, 128, 64]",128,0.2,0.0001,128,0.8262339758707797,0.8435336471891444
"[64, 128, 64]",128,0.2,0.0005,128,0.8561769546031048,0.8414566602049294
"[64, 64]",256,0.2,0.0005,128,0.8692210936762994,0.8393796732207144
"[64, 64]",128,0.3,0.0001,128,0.7769263021079,0.8364718914428136
"[64, 128, 64]",256,0.3,0.0001,128,0.7769069106841504,0.8289947382996399
"[64, 128, 64]",128,0.3,0.0001,128,0.8109703049170361,0.8251176959291056
"[64, 64]",128,0.3,0.001,128,0.8358547425133381,0.806182497923013
