graph_conv_layers,dense_layer_size,dropout,learning_rate,batch_size,train_roc_auc_score,train_accuracy_score,test_roc_auc_score,test_accuracy_score
"[128, 128]",128,0.2,0.001,128,0.9265462148518784,0.8512372056046904,0.9206165233127961,0.8410174880763116
"[64, 128, 64]",256,0.2,0.0005,128,0.9032120847839897,0.8238099970187817,0.9032488460521768,0.8235294117647058
"[128, 128]",256,0.2,0.0005,128,0.9124682189453552,0.8207294047500745,0.9063294292279225,0.8187599364069952
"[128, 128]",128,0.3,0.001,128,0.9140179410965845,0.8189406737553413,0.9087339108155921,0.8171701112877583
"[64, 128, 64]",128,0.2,0.001,128,0.9000192613655356,0.8164563251515453,0.8955600967892801,0.8163751987281399
"[64, 128, 64]",256,0.3,0.001,128,0.887526269017125,0.8095001490609163,0.8902173692023019,0.8139904610492846
"[64, 128, 64]",256,0.3,0.0005,128,0.8985205012464708,0.810295140614131,0.8984297159356637,0.8131955484896661
"[64, 128, 64]",128,0.3,0.001,128,0.8974700581437587,0.8075126701778793,0.8961161013847374,0.8108108108108109
"[64, 64]",128,0.3,0.001,128,0.8946771700655514,0.8123819934413197,0.8953338823481567,0.8060413354531002
"[64, 128, 64]",256,0.2,0.0001,128,0.872250918428117,0.7876378813475107,0.8810391630574025,0.8044515103338633
"[64, 128, 64]",256,0.2,0.001,128,0.906578437147409,0.8048295736857796,0.9043367087578031,0.7933227344992051
"[64, 128, 64]",128,0.2,0.0005,128,0.9096832505753598,0.7912153433369771,0.9052746090811119,0.7901430842607313
"[64, 64]",128,0.2,0.001,128,0.9118767715633012,0.7934015701083176,0.9042172471990078,0.78060413354531
"[128, 128]",256,0.2,0.001,128,0.9163486080090599,0.7793898439829077,0.9127346021675918,0.7790143084260731
"[64, 64]",128,0.3,0.0001,128,0.8599225924940539,0.7725330418364305,0.86663006567844,0.7766295707472178
"[128, 128]",256,0.3,0.001,128,0.9007117892339764,0.7844579151346517,0.8887304540555929,0.7758346581875993
"[128, 128]",128,0.2,0.0005,128,0.9050431550656637,0.764583126304283,0.9014086296996686,0.7623211446740858
"[64, 128, 64]",128,0.3,0.0001,128,0.8541471403184127,0.7335784557289079,0.8612237947091239,0.7527821939586645
"[64, 64]",256,0.2,0.001,128,0.9199012422310442,0.7479876776309252,0.9127778116675818,0.7400635930047694
"[64, 128, 64]",128,0.2,0.0001,128,0.8694902054050759,0.7263241578058233,0.8765377498525794,0.7360890302066773
"[128, 128]",256,0.3,0.0005,128,0.9059851438183284,0.7331809599523005,0.9027049146993634,0.7305246422893482
"[64, 128, 64]",256,0.3,0.0001,128,0.8515333487995905,0.7072443605286693,0.8562547022102929,0.7209856915739269
"[128, 128]",128,0.2,0.0001,128,0.8879990100960202,0.7257279141409122,0.8850220622623477,0.7170111287758346
"[128, 128]",128,0.3,0.0001,128,0.8681201653555679,0.7064493689754546,0.8686100774720917,0.7146263910969793
"[64, 64]",256,0.2,0.0001,128,0.8768289464501486,0.7095299612441618,0.8744433599707193,0.7138314785373608
"[64, 64]",256,0.3,0.001,128,0.8989429154577697,0.7255291662526085,0.8977968238475773,0.7138314785373608
"[128, 128]",128,0.3,0.0005,128,0.8960841985267198,0.7274172711914936,0.893036153642815,0.7090620031796503
"[64, 64]",256,0.3,0.0001,128,0.8631937098700049,0.6973069661134851,0.8637019866203053,0.7042925278219396
"[64, 64]",128,0.2,0.0001,128,0.8554082694933397,0.7046606379807214,0.8570426401512841,0.7027027027027027
"[64, 64]",128,0.3,0.0005,128,0.8636117275515574,0.7015800457120143,0.85976229691535,0.6868044515103339
"[64, 64]",256,0.3,0.0005,128,0.8829506824089031,0.6913445294643744,0.8822261534394762,0.6860095389507154
"[128, 128]",256,0.2,0.0001,128,0.8815940006642233,0.698598827387459,0.8763928709408488,0.6844197138314785
"[64, 64]",256,0.2,0.0005,128,0.8955927399419508,0.6845871012620491,0.898157750259257,0.6836248012718601
"[64, 128, 64]",128,0.3,0.0005,128,0.86255671920351,0.6704760011924873,0.8608018666503996,0.6534181240063593
"[128, 128]",256,0.3,0.0001,128,0.8613587194320105,0.6617310941071252,0.8608120335915737,0.6518282988871225
"[64, 64]",128,0.2,0.0005,128,0.891730393521766,0.6328132763589387,0.8852940279387544,0.6224165341812401
